,account,allocation,Unnamed: 0,jobs,su,users,avg_cores,avg_nodes,cpuhours,cycle,Usage,Usage_Portion,SU_job,SU_user,Job_user
9,pi-dbiron,0.3,3.0,3770.0,1.30980549,7.0,40.3154,2.6804,1309789.0122,2014.0,1309805.49,1.0,347.42851193633953,187115.07,538.5714285714286
9,pi-dbiron,0.3,4.0,3691.0,1.09683249,7.0,39.0921,2.5454,1096816.0233,2015.0,1096832.49,1.0,297.16404497426174,156690.35571428572,527.2857142857143
9,pi-dbiron,0.3,35.0,4705.0,0.16392916,3.0,37.1245,2.3881,163908.1161,2016.0,163929.16,0.5464305333333334,34.841479277364506,54643.05333333334,1568.3333333333333
9,pi-dbiron,0.3,76.0,645.0,0.03613752,2.0,35.5907,2.2419,36134.6667,2017.0,36137.52,0.1204584,56.027162790697666,18068.76,322.5
10,pi-fabrycky,0.16,48.0,59.0,0.00139301,2.0,15.2881,1.0847,1392.7631,2013.0,1393.01,0.0087063125,23.61033898305085,696.505,29.5
10,pi-fabrycky,0.16,27.0,5838.0,0.06725171,3.0,2.7088,1.0894,67224.8511,2014.0,67251.71,0.42032318750000003,11.519648852346695,22417.236666666668,1946.0
10,pi-fabrycky,0.16,16.0,4579.0,0.323287,3.0,4.5075,1.4252,323265.3164,2015.0,323287.0,1.0,70.60209652762612,107762.33333333333,1526.3333333333333
10,pi-fabrycky,0.16,101.0,113.0,0.00453787,2.0,3.823,1.8584,4537.3486,2016.0,4537.87,0.0283616875,40.15814159292035,2268.935,56.5
10,pi-fabrycky,0.16,223.0,1.0,0.0,1.0,1.0,1.0,0.0,2017.0,0.0,0.0,0.0,0.0,1.0
10,pi-fabrycky,0.16,181.0,11.0,3.8990000000000004e-05,2.0,1.0,1.0,38.9972,2018.0,38.99,0.0002436875,3.544545454545455,19.495,5.5
11,pi-kravtsov,0.15,4.0,3679.0,1.28710248,2.0,174.4091,11.5439,1287093.5369,2013.0,1287102.48,1.0,349.8511769502582,643551.24,1839.5
11,pi-kravtsov,0.15,4.0,922.0,1.24979113,3.0,85.8915,5.461,1249787.0231,2014.0,1249791.13,1.0,1355.5218329718002,416597.0433333333,307.3333333333333
11,pi-kravtsov,0.15,15.0,2755.0,0.46202769,9.0,19.2283,1.8588,462015.3519,2015.0,462027.69,1.0,167.70515063520872,51336.41,306.1111111111111
11,pi-kravtsov,0.15,18.0,2382.0,0.48455623999999997,10.0,19.0508,1.7414,484546.2208,2016.0,484556.24,1.0,203.4241141897565,48455.623999999996,238.2
11,pi-kravtsov,0.15,13.0,3708.0,1.16168534,9.0,120.8652,5.5076,1669409.1781,2017.0,1161685.34,1.0,313.2916235167206,129076.1488888889,412.0
11,pi-kravtsov,0.15,35.0,1405.0,0.37544063,8.0,33.1032,2.1345,329096.0042,2018.0,375440.63,1.0,267.2175302491103,46930.07875,175.625
12,pi-dholz,0.142,16.0,17.0,0.1002565,1.0,451.7647,28.5882,100256.4267,2013.0,100256.5,0.7060316901408451,5897.441176470588,100256.5,17.0
12,pi-dholz,0.142,23.0,1683.0,0.11138708,1.0,341.8942,19.9709,111380.8756,2014.0,111387.08,0.7844160563380281,66.18364824717766,111387.08,1683.0
12,pi-dholz,0.142,49.0,1157.0,0.04037043,2.0,11.7684,1.0285,40365.3644,2015.0,40370.43,0.2842988028169014,34.892333621434744,20185.215,578.5
12,pi-dholz,0.142,41.0,1523.0,0.12623133,3.0,16.7249,1.8234,126224.8381,2016.0,126231.33,0.8889530281690141,82.88334208798425,42077.11,507.6666666666667
12,pi-dholz,0.142,32.0,1214.0,0.38865897,4.0,24.1969,1.0124,388552.615,2017.0,388658.97,1.0,320.1474217462932,97164.7425,303.5
12,pi-dholz,0.142,70.0,4407.0,0.048511120000000005,3.0,26.2696,1.0272,38728.2675,2018.0,48511.12,0.34162760563380284,11.007742228273202,16170.373333333335,1469.0
13,pi-abbot,0.11,10.0,1150.0,0.4358895,4.0,38.5687,5.2904,435884.9369,2013.0,435889.5,1.0,379.03434782608696,108972.375,287.5
13,pi-abbot,0.11,10.0,2746.0,0.7251241500000001,3.0,22.4807,8.0488,725112.9489,2014.0,725124.15,1.0,264.0656045156592,241708.05000000002,915.3333333333334
13,pi-abbot,0.11,17.0,45543.0,0.31448824,3.0,15.7094,15.3145,314256.6836,2015.0,314488.24,1.0,6.905303559273653,104829.41333333333,15181.0
13,pi-abbot,0.11,8.0,5193.0,0.7451188599999999,5.0,28.4059,4.435,745098.6789,2016.0,745118.86,1.0,143.48524167148085,149023.772,1038.6
13,pi-abbot,0.11,11.0,23858.0,1.36900053,5.0,90.3295,5.1573,1340790.4872,2017.0,1369000.53,1.0,57.38119414871322,273800.106,4771.6
13,pi-abbot,0.11,29.0,39265.0,0.48417946,4.0,36.5199,2.7064,369906.3994,2018.0,484179.46,1.0,12.331069909588694,121044.865,9816.25
14,pi-mstephens,0.1,27.0,5971.0,0.02816039,2.0,1.1306,1.2211,28140.245,2013.0,28160.39,0.2816039,4.716193267459387,14080.195,2985.5
14,pi-mstephens,0.1,55.0,28756.0,0.009616930000000001,2.0,1.095,1.002,9475.6897,2014.0,9616.93,0.0961693,0.334432118514397,4808.465,14378.0
14,pi-mstephens,0.1,29.0,6418.0,0.13861382,7.0,1.9637,1.0768,138582.2925,2015.0,138613.82,1.0,21.59766593954503,19801.97428571429,916.8571428571429
14,pi-mstephens,0.1,20.0,13902.0,0.42591271999999997,13.0,3.7627,0.9855,425848.3142,2016.0,425912.72,1.0,30.636794705797726,32762.51692307692,1069.3846153846155
14,pi-mstephens,0.1,9.0,159337.0,1.7149718999999999,15.0,2.9859,0.9826,1443242.1461,2017.0,1714971.9,1.0,10.763174278416187,114331.45999999999,10622.466666666667
14,pi-mstephens,0.1,13.0,126754.0,1.20479323,17.0,3.6299,1.0055,414645.5053,2018.0,1204793.23,1.0,9.504972071887277,70870.19,7456.117647058823
15,pi-cpel,0.1,23.0,3033.0,0.03627311,1.0,2.8839,1.3416,36264.4158,2013.0,36273.11,0.36273110000000003,11.959482360698978,36273.11,3033.0
15,pi-cpel,0.1,78.0,43.0,0.0012384400000000002,2.0,13.8837,1.0233,1238.2772,2014.0,1238.44,0.0123844,28.80093023255814,619.22,21.5
15,pi-cpel,0.1,133.0,17.0,1.219e-05,1.0,2.7647,1.0,12.0894,2015.0,12.19,0.0001219,0.7170588235294117,12.19,17.0
16,pi-nicho,0.1,45.0,5115.0,0.00220854,3.0,0.6829,1.3881,2186.2561,2013.0,2208.54,0.022085399999999998,0.43177712609970675,736.18,1705.0
16,pi-nicho,0.1,39.0,536.0,0.04536221,4.0,10.5709,1.1716,45360.1472,2014.0,45362.21,0.4536221,84.63098880597015,11340.5525,134.0
16,pi-nicho,0.1,48.0,7674.0,0.04193492,6.0,1.7177,1.0838,41898.6458,2015.0,41934.92,0.4193492,5.46454521761793,6989.153333333333,1279.0
16,pi-nicho,0.1,72.0,7586.0,0.02004575,7.0,1.0865,0.9988,20009.2575,2016.0,20045.75,0.2004575,2.642466385446876,2863.6785714285716,1083.7142857142858
16,pi-nicho,0.1,26.0,2655.0,0.5715829499999999,6.0,19.42,1.125,516934.5553,2017.0,571582.95,1.0,215.2854802259887,95263.825,442.5
16,pi-nicho,0.1,78.0,99.0,0.03341347,1.0,34.5051,2.2121,27215.6539,2018.0,33413.47,0.3341347,337.509797979798,33413.47,99.0
17,pi-tokmakoff,0.098,20.0,10971.0,0.05403142,9.0,3.915,1.1338,53982.5411,2013.0,54031.42,0.5513410204081632,4.924931182207638,6003.4911111111105,1219.0
17,pi-tokmakoff,0.098,34.0,8748.0,0.056171080000000005,8.0,7.816,1.1592,56138.1869,2014.0,56171.08,0.5731742857142857,6.4210196616369455,7021.385,1093.5
17,pi-tokmakoff,0.098,59.0,6872.0,0.02790111,5.0,2.4269,1.0716,27868.5908,2015.0,27901.11,0.28470520408163263,4.060114959254948,5580.222,1374.4
17,pi-tokmakoff,0.098,59.0,5669.0,0.03392878,6.0,4.8245,1.1409,33904.7269,2016.0,33928.78,0.3462120408163265,5.98496736637855,5654.796666666666,944.8333333333334
17,pi-tokmakoff,0.098,144.0,1639.0,0.00092394,2.0,1.2532,1.0,924.6667,2017.0,923.94,0.00942795918367347,0.5637217815741306,461.97,819.5
17,pi-tokmakoff,0.098,209.0,1.0,2e-08,1.0,2.0,1.0,0.0072,2018.0,0.02,2.0408163265306124e-07,0.02,0.02,1.0
18,pi-akonigl,0.096,18.0,193.0,0.05653482,2.0,41.7824,2.7772,56533.9911,2013.0,56534.82,0.588904375,292.9265284974093,28267.41,96.5
18,pi-akonigl,0.096,14.0,674.0,0.46172849,3.0,90.1499,5.7433,461725.6117,2014.0,461728.49,1.0,685.0571068249258,153909.49666666667,224.66666666666666
18,pi-akonigl,0.096,11.0,274.0,0.60949631,3.0,161.2847,10.1533,609495.1422,2015.0,609496.31,1.0,2224.439087591241,203165.43666666668,91.33333333333333
18,pi-akonigl,0.096,42.0,47.0,0.12555896,2.0,155.234,9.7021,125558.7556,2016.0,125558.96,1.0,2671.467234042553,62779.48,23.5
19,pi-lupingyu,0.09,22.0,52.0,0.044910610000000004,1.0,54.7692,3.6538,44910.4311,2013.0,44910.61,0.4990067777777778,863.665576923077,44910.61,52.0
