Unnamed: 0,account,jobs,su,users,avg_cores,avg_nodes,cpuhours,cycle
0,pi-depablo,280213,5599435.43,25,15.4372,1.0765,5598894.0722,2013
1,pi-gavoth,14916,2209172.35,26,27.5141,2.3598,2209127.4683,2013
2,pi-roux,4913,1628073.21,11,37.9546,2.9689,1628057.9467,2013
3,pi-freed,12722,1374834.35,9,25.8114,2.5006,1374792.3506,2013
4,pi-kravtsov,3679,1287102.48,2,174.4091,11.5439,1287093.5369,2013
5,pi-dbiron,2766,707289.27,6,60.5383,4.1186,707277.7431,2013
6,pi-dinner,38931,517118.63,7,8.6615,1.3566,516990.485,2013
7,pi-drowley,171,512915.2,1,459.6082,28.9298,512914.4267,2013
8,pi-eperozo,459,506681.18,1,94.2484,6.7059,506680.0,2013
9,pi-fciesla,1515,498717.06,2,24.9782,5.2568,498710.975,2013
10,pi-abbot,1150,435889.5,4,38.5687,5.2904,435884.9369,2013
11,pi-dachxiu,2427,326662.45,3,14.130999999999998,1.1092,326652.6422,2013
12,rcc-staff,6048,210129.72,15,33.6682,5.6182,210102.7608,2013
13,pi-wilde,7893,132879.06,7,12.6498,1.3924,132855.9308,2013
14,pi-joshuaelliott,2560,112361.76,7,22.5645,2.4988,112350.4444,2013
15,pi-nbrunel,4786,104132.25,3,3.5380000000000003,1.0938,104110.7853,2013
16,pi-dholz,17,100256.5,1,451.7647,28.5882,100256.4267,2013
17,pi-aaz,1368,60515.09,1,28.3743,2.0439,60510.04,2013
18,pi-akonigl,193,56534.82,2,41.7824,2.7772,56533.9911,2013
19,pi-gnedin,57,55536.41,1,168.9825,10.9123,55536.2578,2013
20,pi-tokmakoff,10971,54031.42,9,3.915,1.1338,53982.5411,2013
21,pi-jfrieman,196,50276.19,1,8.0714,1.0204,50275.3428,2013
22,pi-lupingyu,52,44910.61,1,54.7692,3.6538,44910.4311,2013
23,pi-cpel,3033,36273.11,1,2.8839,1.3416,36264.4158,2013
24,cmsc33001,138,32765.57,2,32.0942,3.0,32764.9289,2013
25,pi-deisenst,256,32078.52,1,19.3477,2.6953,32077.6403,2013
26,pi-jheckman,160,29571.81,1,68.475,4.8688,29571.065,2013
27,pi-mstephens,5971,28160.39,2,1.1306,1.2211,28140.245,2013
28,pi-jtruran,186,24286.69,3,25.3441,2.2527,24285.9411,2013
29,swift,5605,16240.13,6,10.4412,1.4555,16222.5733,2013
30,pi-ckao95,67,15573.29,2,41.9104,4.4925,15572.9661,2013
31,pi-ad15,858,13478.84,1,11.0641,1.6748,13474.8814,2013
32,pi-arzhetsky,1467,11715.15,2,3.591,1.0798,11708.1192,2013
33,pi-rbgramacy,28,9693.66,1,306.8571,19.25,9693.5244,2013
34,pi-taddy,287,7908.26,1,93.3066,6.2857,7907.3089,2013
35,pi-moyer,1299,6886.4,3,1.2263,1.0855,6880.2692,2013
36,pi-rjlalond,30,6798.22,1,12.0,1.0333,6798.1467,2013
37,pi-rkessler,51447,6749.01,5,0.9982,1.002,6452.9975,2013
38,pi-dyork,32,6122.11,1,19.3438,5.0625,6121.9961,2013
39,pi-rwg,19672,5799.82,3,0.9995,1.0004,5727.3664,2013
40,pi-gilbertjack,434,5237.78,4,5.0599,1.1152,5235.9803,2013
41,pi-vzhorin,66,5013.92,1,9.8182,1.1212,5013.6392,2013
42,pi-cosar,123,4346.83,1,9.7317,1.3984,4346.4878,2013
43,cspp51087,2883,4289.92,14,20.2185,2.0805,4276.4989,2013
44,econ41903,30,2370.35,6,12.3667,1.1333,2370.2333,2013
45,pi-nicho,5115,2208.54,3,0.6829,1.3881,2186.2561,2013
46,pi-sethi,65,2158.88,1,14.7692,1.0769,2158.6,2013
47,pi-skeedy,192,1708.14,6,5.6875,1.1406,1707.2236,2013
48,pi-fabrycky,59,1393.01,2,15.2881,1.0847,1392.7631,2013
49,pi-lafferty,166,1132.94,1,13.5422,1.0181,1132.1489,2013
50,pi-aclyu,107,940.58,2,2.1308,1.1308,940.1072,2013
51,pi-mkolar,1528,393.09,1,0.716,1.3174,387.9286,2013
52,pi-price,25,220.46,1,14.6,1.48,220.3597,2013
53,pi-siegela,46,160.77,1,5.5435,1.3913,160.6336,2013
54,pi-vikramvd,19,123.4,1,25.3158,1.6316,123.3514,2013
55,cmsc12300,48,87.86,7,11.6667,3.0417,87.6733,2013
56,pi-rrosner,160,82.3,1,0.975,1.025,81.4628,2013
57,rcc-guest,109,34.19,13,6.3028,1.5046,33.7233,2013
58,pi-uschmid,33,29.06,1,1.0,1.0,28.9286,2013
59,pi-rtp1,50,24.82,2,4.0,1.58,24.7178,2013
60,psd,13,6.14,1,1.0769,1.0769,6.0725,2013
61,pi-slv,2,4.15,1,12.0,1.0,4.15,2013
62,pi-jabadner,7,2.85,1,14.4286,1.5714,2.8206,2013
63,pi-dpope,10,2.13,1,1.4,1.8,2.0767,2013
64,pi-ossa,1,2.01,1,1.0,1.0,2.0069,2013
65,pi-hortacsu,9,0.27,1,5.6667,1.3333,0.2383,2013
66,pi-gruzberg,5,0.07,1,0.8,1.4,0.0567,2013
67,sandbox,3,0.0,1,0.3333,1.6667,0.0,2013
0,pi-depablo,128027,6909992.38,30,20.5905,1.5637,6909452.9458,2014
1,pi-gavoth,16609,2440484.42,27,18.1873,1.8029,2440408.7608,2014
2,pi-roux,10322,2037586.81,8,27.5703,2.1465,2037545.9414,2014
3,pi-dbiron,3770,1309805.49,7,40.3154,2.6804,1309789.0122,2014
4,pi-kravtsov,922,1249791.13,3,85.8915,5.461,1249787.0231,2014
5,pi-freed,34035,1094133.82,10,2.3169999999999997,1.1125,1093972.6194,2014
6,pi-joshuaelliott,149013,1005520.57,9,16.7292,1.3780000000000001,1004965.0736,2014
7,pi-hortacsu,1769,876523.75,13,65.818,5.5037,876516.2519,2014
8,pi-gnedin,16002,835548.94,2,15.6365,1.2265,835488.3525,2014
9,pi-drowley,188,814035.77,1,764.6809,48.1436,814034.9378,2014
10,pi-abbot,2746,725124.15,3,22.4807,8.0488,725112.9489,2014
11,pi-dinner,49793,685450.62,13,8.1733,1.199,685215.5008,2014
12,pi-eperozo,323,540939.96,1,135.7276,8.7864,540938.6667,2014
13,rcc-staff,6140,478940.71,16,50.251000000000005,4.3879,478913.7214,2014
14,pi-akonigl,674,461728.49,3,90.1499,5.7433,461725.6117,2014
15,pi-aachien,3216,258098.9,5,52.0967,8.0056,258087.5364,2014
16,pi-ehurst,134542,251536.69,2,1.381,1.1163,250951.2017,2014
17,pi-jfrieman,699,202260.16,1,9.6423,1.0029,202256.8306,2014
18,pi-collar,369250,171599.47,2,0.9977,1.0024,169526.5858,2014
19,pi-rree,571,171145.69,4,24.7198,2.0263,171143.3519,2014
20,pi-fciesla,250,169766.6,2,35.324,13.82,169765.6572,2014
21,pi-taddy,478,162658.84,4,291.7971,19.9854,162657.0831,2014
22,pi-burhan,26240,117219.23,2,11.2748,1.6599,117058.0867,2014
23,pi-dholz,1683,111387.08,1,341.8942,19.9709,111380.8756,2014
24,pi-kite,42598,105868.37,1,1.9535,1.0133,105701.2053,2014
25,pi-vzhorin,275,104609.53,1,81.6073,5.4073,104608.4219,2014
26,pi-mkolar,936,67578.27,1,17.1368,2.6581,67576.335,2014
27,pi-fabrycky,5838,67251.71,3,2.7088,1.0894,67224.8511,2014
28,pi-rwg,9641,65550.64,4,4.4681,1.0281,65513.2583,2014
29,pi-sepalmer,8728,62684.39,3,4.2709,1.1849,62645.6861,2014
30,pi-aaz,337,60379.07,3,10.368,1.0415,60377.5075,2014
31,pi-nbrunel,11561,59814.42,4,1.3943,1.0029,59755.1383,2014
32,pi-moyer,5013,58838.21,9,5.7828,1.2956,58814.4922,2014
33,pi-tintelnot,562,57344.46,2,19.2847,1.5036,57342.4369,2014
34,pi-tokmakoff,8748,56171.08,8,7.816,1.1592,56138.1869,2014
35,pi-jinbo,22910,55940.94,5,3.6189,1.2759,55842.4553,2014
36,cmsc12300,101,55723.31,9,18.3168,2.9703,55722.8536,2014
37,bios11103,230,52109.21,7,95.3304,6.0174,52108.5308,2014
38,pi-yaliamit,1052,50634.16,4,41.5171,2.9392,50629.5425,2014
39,pi-nicho,536,45362.21,4,10.5709,1.1716,45360.1472,2014
40,pi-wenbinlin,827,40596.51,3,8.7473,1.0254,40592.8606,2014
41,pi-kazutaka,237,34248.1,3,9.9198,1.0042,34247.0525,2014
42,pi-rossc,347,33003.05,6,10.5764,1.0115,33001.4981,2014
43,pi-wilde,7460,31718.27,6,19.4551,1.6202,31689.1256,2014
44,pi-rkessler,138970,28673.89,7,0.9883,1.0121,27904.7267,2014
45,pi-jozik,402,28059.34,2,15.2687,1.2662,28057.8511,2014
46,pi-gilbertjack,4279,24419.65,8,6.5688,1.1075,24403.0583,2014
47,pi-jaredlewis,128,23731.05,2,14.1094,1.4297,23730.4733,2014
48,cspp51087,633,22950.99,15,18.357,1.6382,22948.3239,2014
49,pi-rbgramacy,384,22168.66,1,37.9297,2.5365,22166.9464,2014
50,pi-neiman,1068,21769.84,2,11.4831,1.0627,21765.3436,2014
51,pi-rtp1,2217,21504.77,3,15.3433,7.5719,21495.8386,2014
52,pi-liantaow,337025,14529.95,3,0.9913,1.0098,12777.5656,2014
53,chem26800,1746,12191.56,22,2.9273,1.1667,12182.6739,2014
54,pi-richardjeanso,525,10185.09,4,5.4305,1.2590000000000001,10182.9778,2014
55,pi-mstephens,28756,9616.93,2,1.095,1.002,9475.6897,2014
56,pi-whu5,75,9555.68,1,34.56,2.4667,9555.44,2014
57,pi-lupingyu,5,9216.65,1,51.2,4.4,9216.64,2014
58,pi-jevans,974,8751.22,10,14.6047,2.0862,8749.4967,2014
59,pi-gagalli,892,8065.75,3,108.3251,6.8733,8062.1025,2014
60,pi-dhooper,1979,7818.48,1,0.9141,1.0227,7809.5931,2014
61,pi-gdwyer,1651,7211.09,2,1.745,1.0575,7202.4028,2014
62,pi-kkawaji,96,5465.89,1,8.8854,1.0833,5465.4544,2014
63,pi-rjlalond,106,5225.11,4,3.1887,1.0377,5224.5417,2014
64,pi-ishanu,132,5054.86,1,10.4848,1.0303,5054.1467,2014
65,pi-skeedy,336,4966.95,6,2.8036,1.0238,4965.2108,2014
66,pi-jagoldsm,147,4514.48,2,20.381,1.7891,4513.9289,2014
67,pi-mlcoleman,1118,3254.71,3,1.7442,1.8605,3252.1317,2014
68,pi-aclyu,553,3051.6,6,3.7902,3.34,3049.0181,2014
69,pi-weyl,939,2888.59,3,1.7881,1.0735,2883.7403,2014
70,pi-dachxiu,59,2347.63,1,16.0,1.0,2347.3378,2014
71,pi-levin,79,2285.16,3,11.1139,1.0127,2284.8092,2014
72,pi-gan1,212,2069.64,1,40.3396,3.5472,2068.5653,2014
73,pi-nikolaev,22,1644.98,2,15.2727,1.0455,1644.88,2014
74,pi-wtmirvine,91,1359.07,2,203.2418,12.7582,1358.7092,2014
75,pi-ghitsch,69,1317.41,1,11.2029,1.0290000000000001,1317.1197,2014
76,pi-foster,6,1286.11,1,128.0,8.0,1286.08,2014
77,soci40133,8699,1253.55,18,1.0798,1.0036,1209.7072,2014
78,pi-cpel,43,1238.44,2,13.8837,1.0233,1238.2772,2014
79,pi-price,8,1193.83,1,864.0,54.25,1193.8133,2014
80,pi-uschmid,35,1065.81,1,10.4571,1.1714,1065.6369,2014
81,pi-dpope,54,915.08,1,6.9074,1.3889,914.9467,2014
82,pi-sdodelso,180,895.05,2,1.3444,1.0333,894.1111,2014
83,bfi,219,876.25,2,1.274,1.0365,875.0447,2014
84,pi-jongrant,15,865.24,1,15.0,1.0,865.1594,2014
85,pi-asufi,8,665.64,1,6.375,1.125,665.6117,2014
86,pi-cobey,2690,637.26,2,0.9602,1.0398,621.0436,2014
87,pi-arzhetsky,634,621.89,1,0.9937,1.0063,618.5153,2014
88,rcc-software,31,584.38,1,84.7097,5.8387,584.2078,2014
89,cmsc33001,229,515.85,6,9.6376,5.5939,514.8908,2014
90,pi-vikramvd,11,453.54,1,52.3636,3.2727,453.5111,2014
91,pi-cosar,9,344.47,1,2.2222,1.0,344.4553,2014
92,pi-sarice,66,150.88,1,1.0,1.0,150.5447,2014
93,mgcb32000,101,143.99,12,0.9901,1.0099,143.5014,2014
94,pi-siegela,8,104.65,1,6.625,1.0,104.6044,2014
95,pi-jabadner,45,75.08,1,0.9778,1.0222,74.8753,2014
96,pi-evtimov,67,69.26,3,0.9701,1.0746,68.9689,2014
97,pi-dyork,49,48.43,1,3.6122,1.4082,48.1492,2014
98,rcc-guest,86,41.63,19,2.8605,1.1279,41.1494,2014
99,astr33000,66,32.52,13,1.0,1.0,32.1664,2014
100,intromri2014,14,20.52,4,1.0,1.0,20.4425,2014
101,pi-mhale,3,19.9,1,6.0,1.0,19.875,2014
102,pi-pchintag,10,17.1,1,4.0,1.0,17.0344,2014
103,pi-lafferty,35,12.98,2,1.4286,1.0,12.8633,2014
104,pi-jaeger,9,10.89,1,2.6667,1.0,10.8492,2014
105,pi-glk,680,10.64,2,1.0265,1.0265,6.5228,2014
106,pi-qitiguo,8,7.43,1,8.5,1.0,7.39,2014
107,pi-emunro,5,6.12,1,1.0,1.0,6.0914,2014
108,pi-jlist,5,5.53,1,1.0,1.0,5.5019,2014
109,pi-sliman,1,4.61,1,4.0,1.0,4.6033,2014
110,pi-drm7,5,4.05,3,7.0,1.0,4.0431,2014
111,pi-dis,4,3.69,1,1.0,1.0,3.67,2014
112,pi-ebchang,59,3.61,1,0.9661,1.0339,3.2197,2014
113,pi-mpho1,6,2.67,1,1.0,1.0,2.6408,2014
114,pi-lamadon,3,2.25,1,1.0,1.0,2.2264,2014
115,cmsc34900,2,1.92,1,1.0,1.0,1.9042,2014
116,pi-sgsg,1,0.59,1,1.0,1.0,0.5803,2014
117,pi-wkang,1,0.33,1,1.0,1.0,0.3258,2014
118,pi-mglotzer,1,0.21,1,1.0,1.0,0.2014,2014
119,pi-rayid,5,0.08,1,1.0,1.0,0.0611,2014
120,nvidia,3,0.05,1,1.0,1.0,0.0289,2014
121,pi-jhr,5,0.05,1,16.0,1.0,0.0267,2014
122,pi-jecarlst,4,0.04,1,1.0,1.0,0.0036,2014
123,pi-kettimut,2,0.02,1,1.0,1.0,0.0025,2014
124,pi-ckao95,1,0.01,1,1.0,1.0,0.0003,2014
125,rcc-temp1,1,0.01,1,1.0,1.0,0.0044,2014
126,pi-rljacob,1,0.0,1,0.0,2.0,0.0,2014
127,pi-cchen3,1,0.0,1,0.0,2.0,0.0,2014
0,pi-depablo,9039,4275831.58,30,32.2257,2.6343,4275798.1858,2015
1,pi-roux,28510,3498957.65,14,21.0941,1.6391,3498851.6953,2015
2,pi-gavoth,29587,3170670.67,31,18.0258,1.6496,3170563.6411,2015
3,pi-freed,27978,1151672.56,12,4.867,1.2749,1151551.5025,2015
4,pi-dbiron,3691,1096832.49,7,39.0921,2.5454,1096816.0233,2015
5,pi-gagalli,16141,999156.9,11,21.3284,2.1509,999091.9561,2015
6,pi-mfj,1635,979188.5,2,47.3064,3.0905,979181.6908,2015
7,pi-joshuaelliott,209460,871492.28,6,8.7891,1.4709999999999999,871019.5347,2015
8,pi-svaikunt,24428,830639.77,8,5.2178,1.2621,830521.2133,2015
9,pi-taddy,1414,787032.65,8,130.4208,8.5375,787027.1911,2015
10,pi-hortacsu,1032,725888.99,5,46.7306,5.8469,725884.9978,2015
11,pi-akonigl,274,609496.31,3,161.2847,10.1533,609495.1422,2015
12,pi-whu5,586,504004.6,3,74.5273,4.9454,504002.4086,2015
13,pi-tintelnot,11519,465335.68,4,6.143,1.1076,465285.8508,2015
14,pi-dinner,83742,462544.77,16,1.9355,1.0711,462096.3008,2015
15,pi-kravtsov,2755,462027.69,9,19.2283,1.8588,462015.3519,2015
16,pi-fabrycky,4579,323287.0,3,4.5075,1.4252,323265.3164,2015
17,pi-abbot,45543,314488.24,3,15.7094,15.3145,314256.6836,2015
18,pi-collar,401737,271393.42,2,0.9872,1.0133,269107.4661,2015
19,pi-vzhorin,2315,265463.97,1,13.1343,1.0523,265453.8847,2015
20,pi-kite,11605,255707.78,3,2.9773,1.071,255663.9097,2015
21,pi-drowley,36,250150.84,1,274.4444,17.6667,250150.6811,2015
22,pi-aachien,643,224009.44,4,72.4541,14.3297,224007.0994,2015
23,pi-sibener,2451,203853.19,1,7.8548,1.1954,203843.3408,2015
24,pi-ishanu,26243,200762.34,1,15.0318,1.0615,200653.8622,2015
25,pi-jaredlewis,201,187093.71,4,85.204,5.9403,187092.9147,2015
26,pi-ehurst,223978,169307.27,2,1.0239,1.0104,168231.4086,2015
27,pi-foster,834,168489.06,4,62.1882,4.2026,168485.4114,2015
28,pi-tas1,2854,160052.88,2,33.9149,2.6282,160039.4553,2015
29,pi-mstephens,6418,138613.82,7,1.9637,1.0768,138582.2925,2015
30,pi-jinbo,62589,101943.18,3,0.9390000000000001,1.0993,101649.83,2015
31,pi-wtang,63,99005.33,2,136.6984,8.6984,99005.0844,2015
32,pi-rjlalond,1528,96526.24,1,11.2219,1.2029,96519.3675,2015
33,pi-neiman,787,92970.41,3,10.5146,1.0368,92966.8425,2015
34,pi-jozik,27155,89163.18,5,16.9313,1.0808,89028.3864,2015
35,rcc-staff,6712,72260.9,19,13.9382,1.8461,72228.3003,2015
36,pi-sdodelso,541,70514.5,3,11.1885,1.4344,70512.1667,2015
37,pi-pascualmm,334019,70055.31,6,1.0025,1.0049,68713.3992,2015
38,pi-cobey,336613,69494.96,10,1.35,1.0517,67674.6158,2015
39,pi-dvtalapin,109,65780.91,2,35.7156,3.3761,65780.5717,2015
40,pi-wenbinlin,609,64985.89,8,12.5402,1.0854,64983.3089,2015
41,pi-rkessler,125051,59181.74,7,1.0444,1.0352,58477.6172,2015
42,pi-rwg,6550,55511.59,5,2.0186,1.0379,55476.6736,2015
43,pi-aaz,92,55282.86,6,83.6522,5.4783,55282.5342,2015
44,msca,1148,55009.63,30,18.5976,1.4495,55004.9436,2015
45,pi-levin,784,53201.74,4,12.0128,1.4707,53198.9542,2015
46,pi-jfrieman,508,51226.42,1,8.9961,1.0335,51224.3383,2015
